time_s,elapsed_s,estimate_x_m,estimate_y_m,estimate_yaw_rad,gt_x_m,gt_y_m,gt_yaw_rad,position_error_m,yaw_error_rad,abs_yaw_error_rad,pair_dt_s,amcl_covariance_xy,amcl_covariance_yaw
36.120000000,0.000000000,0.019392120,-0.024794861,-0.000016600,0.000230691,-0.000267769,-0.000076136,0.031124566,0.000059536,0.000059536,0.020000000,0.332095401,0.051693574
39.420000000,3.300000000,0.009964771,-0.033224367,-0.009748725,0.000263434,-0.000267629,-0.000076159,0.034354949,-0.009672567,0.009672567,0.000000000,0.340180931,0.054743361
41.900000000,5.780000000,0.162171459,-0.031457123,-0.008606874,0.153131384,-0.001197255,-0.001689352,0.031581364,-0.006917522,0.006917522,0.000000000,0.257073642,0.034261392
42.660000000,6.540000000,0.313000514,-0.022526875,-0.002254817,0.317790529,-0.001220751,-0.001011119,0.021837930,-0.001243698,0.001243698,0.000000000,0.182770583,0.020188150
43.420000000,7.300000000,0.467789598,-0.017968576,-0.001505433,0.462236364,-0.002058725,-0.001396694,0.016851166,-0.000108739,0.000108739,0.000000000,0.139339709,0.012960399
44.180000000,8.060000000,0.640155709,-0.009262165,0.001831995,0.614259960,-0.002369874,-0.001427644,0.026797266,0.003259638,0.003259638,0.000000000,0.108026633,0.008144050
44.940000000,8.820000000,0.789217844,-0.006813515,0.002240286,0.775023158,-0.002882192,-0.002845429,0.014729033,0.005085715,0.005085715,0.000000000,0.073472252,0.005977640
45.700000000,9.580000000,0.939356029,-0.002309401,0.000167160,0.925808105,-0.003585292,-0.001399062,0.013607870,0.001566223,0.001566223,0.000000000,0.056667113,0.004064648
46.460000000,10.340000000,1.092132074,0.002321446,0.003232029,1.076852556,-0.003872364,-0.001937406,0.016487176,0.005169435,0.005169435,0.000000000,0.043538875,0.003566820
47.220000000,11.100000000,1.239988215,0.005216390,0.006099152,1.231882431,-0.004232640,-0.001883760,0.012449414,0.007982912,0.007982912,0.000000000,0.031921242,0.002874755
47.860000000,11.740000000,1.381749051,0.010091753,0.009177362,1.381602932,-0.004313622,-0.000953752,0.014406117,0.010131115,0.010131115,0.000000000,0.023423775,0.002243279
48.380000000,12.260000000,1.536886383,0.014536611,0.011199122,1.533693460,-0.004865126,-0.000333309,0.019662710,0.011532431,0.011532431,0.000000000,0.022550384,0.002000405
48.880000000,12.760000000,1.679171485,0.014308102,0.008264561,1.690114792,-0.004929434,-0.000491955,0.022132301,0.008756516,0.008756516,0.020000000,0.022779874,0.001943282
49.400000000,13.280000000,1.833125360,0.017564210,0.005563349,1.842872872,-0.005148053,-0.000247119,0.024715600,0.005810468,0.005810468,0.020000000,0.023866116,0.001561862
49.900000000,13.780000000,1.985160309,0.019786786,0.006207508,1.994432277,-0.005410416,0.000187471,0.026848992,0.006020036,0.006020036,0.000000000,0.025790339,0.001553999
50.420000000,14.300000000,2.143867821,0.023353047,0.004583281,2.150261204,-0.005493924,-0.000094482,0.029546964,0.004677763,0.004677763,0.000000000,0.025102641,0.001256679
