time_s,elapsed_s,estimate_x_m,estimate_y_m,estimate_yaw_rad,gt_x_m,gt_y_m,gt_yaw_rad,position_error_m,yaw_error_rad,abs_yaw_error_rad,pair_dt_s,amcl_covariance_xy,amcl_covariance_yaw
36.280000000,0.000000000,0.008955224,-0.035493504,-0.009670924,0.000232286,-0.000267763,-0.000076137,0.036289703,-0.009594787,0.009594787,0.020000000,0.344317613,0.053585063
39.540000000,3.260000000,-0.002669246,-0.053661979,-0.009195828,0.000264634,-0.000267624,-0.000076159,0.053474899,-0.009119668,0.009119668,0.000000000,0.347345935,0.055183210
41.900000000,5.620000000,0.135828352,-0.062178886,-0.007906152,0.153131384,-0.001197255,-0.001689352,0.063388913,-0.006216799,0.006216799,0.000000000,0.252477747,0.037055603
42.660000000,6.380000000,0.278630208,-0.050393686,-0.007529476,0.317790529,-0.001220751,-0.001011119,0.062861024,-0.006518357,0.006518357,0.000000000,0.197618443,0.022900120
43.420000000,7.140000000,0.410432716,-0.042785576,-0.006086352,0.462236364,-0.002058725,-0.001396694,0.065896088,-0.004689658,0.004689658,0.000000000,0.157278986,0.012677356
44.180000000,7.900000000,0.565409963,-0.030492653,-0.002552976,0.614259960,-0.002369874,-0.001427644,0.056366771,-0.001125333,0.001125333,0.000000000,0.128459497,0.007472536
44.940000000,8.660000000,0.705187067,-0.028709897,-0.005746493,0.775023158,-0.002882192,-0.002845429,0.074459049,-0.002901064,0.002901064,0.000000000,0.114517961,0.005635052
45.700000000,9.420000000,0.850142354,-0.022602116,-0.007154476,0.925808105,-0.003585292,-0.001399062,0.078018879,-0.005755413,0.005755413,0.000000000,0.101723362,0.003992270
46.460000000,10.180000000,0.983632302,-0.014244794,-0.008318372,1.076852556,-0.003872364,-0.001937406,0.093795539,-0.006380966,0.006380966,0.000000000,0.096619804,0.002678139
47.220000000,10.940000000,1.126106739,-0.018013490,-0.012201531,1.231882431,-0.004232640,-0.001883760,0.106669625,-0.010317771,0.010317771,0.000000000,0.063663305,0.001936150
